Timestamp,PH_Sensor,ORP_Sensor,CT_Sensor,TDS_Sensor,NH_sensor,TR_Sensor
2024-10-31 09:54:47.590,0.72,0.972,26.616,24.378,97.3,26.5
2024-10-31 12:54:47.590,11.104,0.972,29.233,26.982,2252.8,28.875
2024-10-31 13:54:47.590,0.864,0.972,29.359,27.107,4171.2,29.0
2024-10-31 14:54:47.590,0.64,0.972,29.75,27.495,4163.8,29.312
2024-11-01 15:35:33.131,13.76,0.972,30.678,28.373,2475.9,30.188
2024-11-02 11:32:47.987,5.468,0.972,28.276,26.029,4104.2,27.875
2024-11-02 16:32:47.987,3.368,0.972,29.745,27.491,238.1,29.438
2024-11-05 17:25:55.008,1.6,0.972,29.193,26.893,6218.9,28.938
2024-11-06 15:54:03.005,8.128,0.972,27.685,25.442,6014.1,27.562
2024-11-07 18:37:15.038,6.88,0.972,29.544,27.257,5295.4,29.125
2024-11-08 08:47:08.097,12.48,0.972,25.948,23.709,6161.9,25.812
2024-11-08 10:47:08.097,2.848,0.972,27.149,24.901,4081.5,26.938
2024-11-08 12:47:08.097,10.304,0.972,28.457,26.161,5972.7,28.125
2024-11-08 17:47:08.097,1.6,0.972,29.802,27.541,3367.7,29.438
2024-11-09 10:43:00.997,13.408,0.972,27.473,25.248,4988.4,27.25
2024-11-10 09:26:02.960,7.2,0.972,26.324,24.098,2720.4,26.25
2024-11-12 09:29:23.010,10.304,0.972,26.361,24.11,685.0,26.25
2024-11-12 12:29:23.010,3.776,0.972,28.565,26.296,4243.2,28.188
2024-11-12 14:29:23.010,9.056,0.972,29.907,27.608,497.5,29.375
2024-11-12 19:29:23.010,1.6,0.972,29.682,27.416,1254.0,29.375
2024-11-13 08:58:25.087,10.304,0.972,26.022,23.814,4605.2,26.0
2024-11-13 09:58:25.087,10.304,0.972,26.486,24.234,6350.9,26.438
2024-11-13 11:58:25.087,0.672,0.972,27.535,25.276,124.6,27.375
2024-11-13 13:58:25.087,5.952,0.972,28.279,26.056,1381.5,28.062
2024-11-15 11:20:25.919,12.48,0.972,27.002,24.755,6167.3,27.062
2024-11-15 15:20:25.919,5.952,0.972,28.889,26.622,1415.3,28.75
2024-11-15 16:20:25.919,0.672,0.972,29.044,26.758,130.8,28.875
2024-11-16 12:40:06.043,5.952,0.972,28.589,26.32,1706.9,28.438
2024-11-16 17:40:06.043,9.984,0.972,29.975,27.697,6490.2,29.688
2024-11-18 15:06:35.059,0.672,0.972,27.33,25.078,2179.8,27.5
2024-11-18 16:06:35.059,2.848,0.972,27.535,25.267,848.4,27.688
2024-11-20 08:50:48.056,9.376,0.972,25.342,23.093,3480.5,25.5
2024-11-20 16:50:48.056,0.672,0.972,27.451,25.186,1729.5,27.5
2024-11-21 10:27:48.062,12.48,0.972,25.969,23.74,993.5,26.188
2024-11-21 16:27:48.062,10.304,0.972,27.464,25.197,2276.9,27.5
2024-11-22 14:53:42.142,5.024,0.972,27.225,24.958,3564.8,27.312
2024-11-23 11:30:26.003,1.92,0.972,26.466,24.244,3133.2,26.625
2024-11-24 13:36:02.055,7.2,0.972,27.149,24.88,4474.2,27.188
2024-11-25 12:11:24.078,11.232,0.972,26.288,24.023,4355.4,26.562
2024-11-25 14:11:24.078,5.952,0.972,26.832,24.566,2355.0,27.062
2024-11-26 11:30:38.038,10.304,0.972,25.548,23.312,4165.1,26.0
